Date,Open,High,Low,Close,Adj Close,Volume,name
2020-01-02,78.67,80.33,77.33,79.47,79.32,2659747,300747.SZ
2020-01-03,79.47,79.83,76.87,77.68,77.53,2622090,300747.SZ
2020-01-06,76.71,80.8,76.02,78.22,78.07,4136661,300747.SZ
2020-01-07,78.6,79.67,77.33,78.27,78.11,2510530,300747.SZ
2020-01-08,77.33,79.57,76.27,77.42,77.27,2044993,300747.SZ
2020-01-09,78.13,79.99,77.48,79.6,79.45,2453547,300747.SZ
2020-01-10,79.01,82.33,78.57,79.58,79.43,2454850,300747.SZ
2020-01-13,80.0,81.87,78.23,81.22,81.06,3464679,300747.SZ
2020-01-14,81.22,82.33,79.77,79.86,79.71,2256328,300747.SZ
2020-01-15,79.86,81.18,78.85,79.33,79.18,1648153,300747.SZ
2020-01-16,80.66,83.33,79.53,81.75,81.59,2607708,300747.SZ
2020-01-17,81.93,81.93,78.51,79.0,78.85,2826018,300747.SZ
2020-01-20,79.18,81.67,78.0,78.48,78.33,4007850,300747.SZ
2020-01-21,78.68,79.13,74.0,74.6,74.46,6486333,300747.SZ
2020-01-22,72.61,74.59,72.25,74.12,73.98,4290439,300747.SZ
2020-01-23,73.33,73.67,66.71,67.93,67.8,6613401,300747.SZ
2020-02-03,61.14,61.73,61.14,61.14,61.02,3962683,300747.SZ
2020-02-04,60.0,62.27,59.52,60.81,60.69,6453348,300747.SZ
2020-02-05,60.81,64.0,60.59,63.47,63.34,5689290,300747.SZ
2020-02-06,63.05,65.0,62.53,64.08,63.96,4600120,300747.SZ
2020-02-07,64.0,67.97,63.79,67.55,67.42,4808202,300747.SZ
2020-02-10,67.92,67.92,65.27,66.75,66.62,4154601,300747.SZ
2020-02-11,66.59,67.7,65.41,67.05,66.92,2550519,300747.SZ
2020-02-12,67.44,68.46,66.37,68.03,67.89,2555220,300747.SZ
2020-02-13,67.07,67.97,64.87,65.89,65.76,4666404,300747.SZ
2020-02-14,65.93,67.46,65.55,66.8,66.67,2931966,300747.SZ
2020-02-17,67.47,70.24,67.47,69.47,69.34,3833607,300747.SZ
2020-02-18,69.47,70.86,69.11,70.75,70.62,2818525,300747.SZ
2020-02-19,70.77,71.91,69.8,70.54,70.4,2468265,300747.SZ
2020-02-20,70.55,71.93,70.0,71.67,71.53,3162234,300747.SZ
2020-02-21,71.94,73.98,71.2,72.91,72.77,3941235,300747.SZ
2020-02-24,72.83,73.31,71.86,72.97,72.83,5134636,300747.SZ
2020-02-25,70.85,71.77,68.33,71.11,70.97,6460492,300747.SZ
2020-02-26,69.65,70.67,66.87,67.19,67.06,4401492,300747.SZ
2020-02-27,67.93,69.0,66.13,68.31,68.17,3425712,300747.SZ
2020-02-28,65.38,67.31,63.13,63.13,63.01,3626472,300747.SZ
2020-03-02,63.67,65.73,62.0,64.83,64.71,4013830,300747.SZ
2020-03-03,65.97,67.63,65.17,66.45,66.32,3868359,300747.SZ
