Date,Open,High,Low,Close,Adj Close,Volume,name
2020-01-02,5.66,5.71,5.66,5.68,5.3511,120457527,601328.SS
2020-01-03,5.7,5.7,5.68,5.69,5.3605,79226429,601328.SS
2020-01-06,5.68,5.7,5.65,5.66,5.3323,110279939,601328.SS
2020-01-07,5.67,5.72,5.66,5.69,5.3605,100975573,601328.SS
2020-01-08,5.64,5.64,5.64,5.64,5.3134,88454492,601328.SS
2020-01-09,5.66,5.68,5.64,5.65,5.3228,70574836,601328.SS
2020-01-10,5.66,5.67,5.63,5.64,5.3134,47980735,601328.SS
2020-01-13,5.65,5.65,5.65,5.65,5.3228,48864220,601328.SS
2020-01-14,5.67,5.67,5.67,5.67,5.3417,60179379,601328.SS
2020-01-15,5.66,5.67,5.62,5.62,5.2946,48839362,601328.SS
2020-01-16,5.63,5.64,5.61,5.61,5.2852,44167672,601328.SS
2020-01-17,5.63,5.65,5.6,5.61,5.2852,42898918,601328.SS
2020-01-20,5.61,5.63,5.6,5.62,5.2946,50593695,601328.SS
2020-01-21,5.61,5.62,5.56,5.57,5.2475,68006773,601328.SS
2020-01-22,5.57,5.57,5.51,5.54,5.2192,75774635,601328.SS
2020-01-23,5.53,5.53,5.46,5.47,5.1533,107220725,601328.SS
2020-02-03,5.05,5.25,5.05,5.11,4.8141,189713145,601328.SS
2020-02-04,5.13,5.25,5.13,5.2,4.8989,129302220,601328.SS
2020-02-05,5.21,5.24,5.16,5.2,4.8989,92667586,601328.SS
2020-02-06,5.22,5.26,5.18,5.24,4.9366,95928446,601328.SS
2020-02-07,5.22,5.27,5.2,5.25,4.946,66853432,601328.SS
2020-02-10,5.23,5.26,5.22,5.23,4.9272,60622311,601328.SS
2020-02-11,5.24,5.29,5.23,5.26,4.9554,67071570,601328.SS
2020-02-12,5.26,5.28,5.25,5.28,4.9743,42780171,601328.SS
2020-02-13,5.27,5.29,5.24,5.24,4.9366,51885965,601328.SS
2020-02-14,5.24,5.29,5.23,5.28,4.9743,44830627,601328.SS
2020-02-17,5.27,5.35,5.27,5.34,5.0308,58085651,601328.SS
2020-02-18,5.33,5.36,5.3,5.31,5.0025,56352602,601328.SS
2020-02-19,5.31,5.34,5.3,5.32,5.0119,52979145,601328.SS
2020-02-20,5.31,5.37,5.29,5.35,5.0402,79874650,601328.SS
2020-02-21,5.33,5.39,5.33,5.37,5.0591,79392915,601328.SS
2020-02-24,5.36,5.38,5.31,5.31,5.0025,71777866,601328.SS
2020-02-25,5.28,5.31,5.26,5.28,4.9743,78857890,601328.SS
2020-02-26,5.26,5.33,5.25,5.31,5.0025,95636723,601328.SS
2020-02-27,5.3,5.35,5.29,5.31,5.0025,61406539,601328.SS
2020-02-28,5.27,5.32,5.2,5.2,4.8989,104045303,601328.SS
2020-03-02,5.21,5.3,5.21,5.29,4.9837,83304077,601328.SS
2020-03-03,5.31,5.35,5.3,5.32,5.0119,83390120,601328.SS
2020-03-04,5.32,5.36,5.31,5.34,5.0308,52203096,601328.SS
2020-03-05,5.36,5.44,5.34,5.39,5.0779,125890759,601328.SS
2020-03-06,5.37,5.39,5.33,5.34,5.0308,60561011,601328.SS
2020-03-09,5.3,5.31,5.21,5.28,4.9743,237469991,601328.SS
2020-03-10,5.24,5.42,5.24,5.35,5.0402,136903064,601328.SS
2020-03-11,5.36,5.36,5.28,5.28,4.9743,75986610,601328.SS
2020-03-12,5.27,5.29,5.24,5.28,4.9743,72585952,601328.SS
2020-03-13,5.18,5.29,5.15,5.25,4.946,122698595,601328.SS
2020-03-16,5.26,5.28,5.18,5.19,4.8895,103280135,601328.SS
2020-03-17,5.19,5.26,5.17,5.2,4.8989,112394642,601328.SS
2020-03-18,5.23,5.23,5.11,5.12,4.8235,93220559,601328.SS
2020-03-19,5.11,5.15,5.0,5.02,4.7293,116207486,601328.SS
2020-03-20,5.07,5.13,5.04,5.09,4.7953,91150223,601328.SS
2020-03-23,5.04,5.05,5.0,5.02,4.7293,77865695,601328.SS
2020-03-24,5.07,5.11,5.05,5.09,4.7953,65502335,601328.SS
2020-03-25,5.15,5.15,5.11,5.12,4.8235,59051468,601328.SS
2020-03-26,5.11,5.16,5.08,5.12,4.8235,64291124,601328.SS
2020-03-27,5.15,5.19,5.12,5.16,4.8612,54080750,601328.SS
2020-03-30,5.15,5.24,5.14,5.22,4.9177,89307064,601328.SS
2020-03-31,5.24,5.25,5.16,5.16,4.8612,58549006,601328.SS
2020-04-01,5.16,5.21,5.15,5.16,4.8612,51641931,601328.SS
2020-04-02,5.15,5.21,5.14,5.21,4.9083,42260109,601328.SS
2020-04-03,5.19,5.2,5.16,5.17,4.8706,31167300,601328.SS
2020-04-07,5.22,5.23,5.2,5.21,4.9083,64210344,601328.SS
2020-04-08,5.2,5.22,5.18,5.19,4.8895,45234176,601328.SS
2020-04-09,5.21,5.22,5.17,5.17,4.8706,45331206,601328.SS
2020-04-10,5.18,5.19,5.16,5.18,4.8801,33770581,601328.SS
2020-04-13,5.17,5.19,5.17,5.17,4.8706,27708095,601328.SS
2020-04-14,5.18,5.19,5.16,5.19,4.8895,50539876,601328.SS
2020-04-15,5.18,5.19,5.16,5.18,4.8801,46750027,601328.SS
2020-04-16,5.16,5.2,5.16,5.2,4.8989,45156690,601328.SS
2020-04-17,5.2,5.22,5.18,5.19,4.8895,53893013,601328.SS
2020-04-20,5.19,5.2,5.16,5.17,4.8706,53661364,601328.SS
2020-04-21,5.16,5.17,5.13,5.13,4.833,46648902,601328.SS
2020-04-22,5.14,5.15,5.11,5.14,4.8424,39435681,601328.SS
2020-04-23,5.15,5.16,5.13,5.14,4.8424,40414905,601328.SS
2020-04-24,5.14,5.15,5.12,5.14,4.8424,31373939,601328.SS
